simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0975689	18999	274.461
30	1224	87	0	23.6454	0.000997818	28.8518
60	1237	13	0	16.6536	5.14749e-11	0.482781
90	1251	14	0	15.128	2.65944e-18	0.0417202
120	1260	9	0	15.1076	1.41407e-25	0.0203433
150	1269	9	0	14.9286	7.66657e-33	0.00768866
180	1297	28	0	23.9954	4.08746e-40	28.7643
210	1326	29	0	14.7549	2.11246e-47	0.500852
240	1340	14	0	14.8753	1.17693e-54	0.0793525
270	1363	23	0	13.9825	7.78331e-62	0.0502002
300	1387	24	0	13.7009	5.74352e-69	0.0267629
330	1408	21	0	22.7787	4.38299e-76	28.8512
360	1431	23	0	13.3657	3.28008e-83	0.497114
390	1457	27	1	13.0103	2.65069e-90	0.0749658
420	1481	29	5	12.2867	2.48713e-97	0.0555178
450	1502	27	6	11.7729	2.58667e-104	0.0281167
480	1522	32	12	21.3223	2.77109e-111	28.9324
510	1544	39	17	11.8457	2.91913e-118	0.493514
540	1549	33	28	11.9118	3.15618e-125	0.0534196
570	1543	23	29	11.8775	3.69348e-132	0.0417334
600	1538	16	21	11.5957	4.46705e-139	0.0212386
630	1547	31	22	20.9141	5.43506e-146	28.9311
660	1538	22	31	11.4513	6.5028e-153	0.487292
690	1488	11	61	11.8476	7.8072e-160	0.0484155
720	1441	4	51	11.0318	9.74255e-167	0.0320928
750	1415	4	30	10.5761	1.22699e-173	0.0152828
780	1394	4	25	24.0984	1.51488e-180	28.9275
810	1376	12	30	10.3526	1.82592e-187	0.489716
840	1356	18	38	10.5508	2.24698e-194	0.0564071
870	1323	15	48	10.162	2.95092e-201	0.0448155
900	1308	13	28	9.8058	3.94025e-208	0.0247051
930	1306	14	16	25.6556	5.24925e-215	28.9334
960	1302	13	17	9.54331	6.93651e-222	0.487174
990	1297	16	21	9.61243	9.36523e-229	0.0547683
1020	1307	24	14	9.39536	1.32897e-235	0.0474829
1050	1317	22	12	9.42948	1.92871e-242	0.0252514
1080	1333	23	7	18.5156	2.75688e-249	28.9326
1110	1347	20	6	9.58501	3.90822e-256	0.488202
1140	1364	26	9	9.71356	5.64743e-263	0.0484664
1170	1382	28	10	9.64079	8.46279e-270	0.0371555
1200	1393	16	5	9.60334	1.2664e-276	0.0206236
1230	1406	14	1	19.981	1.86427e-283	28.9305
1260	1418	17	5	9.72342	2.69013e-290	0.484548
1290	1429	18	7	10.2526	3.87699e-297	0.0396929
1320	1432	11	8	9.89285	0	0.026953
1350	1435	6	3	9.86523	0	0.01362
1380	1434	2	3	19.1865	0	28.9286
1410	1435	3	2	9.6471	0	0.483186
1440	1435	7	7	9.68389	0	0.0453185
1440.02	1436	1	0	0.256872	0	0.0453045
